hotel,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,meal,country,market_segment,distribution_channel,reserved_room_type,assigned_room_type,booking_changes,deposit_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests,canceled
Resort Hotel,November,48,23,0,1,2,BB,ESP,Offline TA/TO,TA/TO,A,D,0,No Deposit,Transient,34.0,0,1,0
Resort Hotel,June,24,15,2,5,2,HB,FRA,Direct,Direct,H,H,1,No Deposit,Transient,230.0,0,0,0
City Hotel,August,32,5,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.0,0,0,1
City Hotel,July,30,29,2,1,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,80.0,0,0,1
City Hotel,May,20,18,1,3,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,162.0,0,0,0
Resort Hotel,August,34,14,2,2,1,BB,GBR,Offline TA/TO,TA/TO,D,D,1,No Deposit,Transient,144.0,0,0,0
City Hotel,June,25,19,1,3,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,130.0,0,0,1
Resort Hotel,September,37,12,2,5,2,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,95.86,0,0,0
Resort Hotel,July,31,25,1,2,2,HB,PRT,Offline TA/TO,TA/TO,A,D,0,No Deposit,Transient,126.2,0,2,0
City Hotel,April,18,28,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.0,0,0,1
City Hotel,December,53,25,2,1,4,BB,PRT,Online TA,TA/TO,G,G,0,No Deposit,Transient,174.42,0,2,0
Resort Hotel,September,39,24,1,3,2,HB,BEL,Groups,Corporate,A,A,0,Non Refund,Transient,89.2,0,0,1
City Hotel,August,33,16,0,4,2,BB,ITA,Online TA,TA/TO,D,D,0,No Deposit,Transient,155.0,0,0,1
City Hotel,March,13,26,2,3,2,BB,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,98.6,0,0,0
City Hotel,September,38,16,0,4,2,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,102.0,0,0,0
City Hotel,July,30,25,2,2,2,BB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.0,0,1,0
Resort Hotel,August,34,22,2,5,2,HB,PRT,Offline TA/TO,TA/TO,E,E,0,No Deposit,Contract,148.05,0,0,1
City Hotel,May,20,19,0,1,1,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,90.0,0,0,1
City Hotel,August,33,14,0,2,2,HB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,101.5,0,0,1
City Hotel,October,41,7,2,2,2,BB,DEU,Online TA,TA/TO,D,D,0,No Deposit,Transient,153.0,0,2,0
Resort Hotel,May,20,15,1,1,2,BB,ESP,Online TA,TA/TO,A,D,0,No Deposit,Transient,85.0,0,2,0
Resort Hotel,July,30,23,2,5,3,HB,PRT,Offline TA/TO,TA/TO,C,C,2,No Deposit,Transient,144.0,1,0,0
Resort Hotel,August,33,13,2,1,2,HB,CN,Offline TA/TO,TA/TO,E,E,0,No Deposit,Transient,165.8,0,0,0
Resort Hotel,February,9,26,1,2,2,Undefined,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,70.0,0,0,1
City Hotel,July,31,29,2,3,3,BB,JPN,Online TA,TA/TO,D,D,0,No Deposit,Transient,130.05,0,1,0
City Hotel,March,12,15,0,3,1,BB,PRT,Corporate,Corporate,A,A,0,No Deposit,Transient,69.0,1,1,0
City Hotel,April,15,13,1,3,3,BB,ITA,Online TA,TA/TO,D,D,0,No Deposit,Transient,173.25,0,1,1
Resort Hotel,October,45,31,1,2,2,BB,GBR,Online TA,TA/TO,E,E,0,No Deposit,Transient,80.0,0,1,0
City Hotel,February,8,19,2,1,3,BB,FRA,Online TA,TA/TO,D,D,0,No Deposit,Transient,158.0,0,2,0
Resort Hotel,February,6,9,2,5,1,BB,IRL,Offline TA/TO,TA/TO,D,D,1,No Deposit,Transient,43.71,0,0,0
City Hotel,October,42,15,0,0,1,BB,GBR,Direct,Direct,G,C,0,No Deposit,Transient,0.0,0,0,0
City Hotel,April,15,12,0,3,2,BB,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,123.0,0,1,0
City Hotel,May,22,29,1,3,2,SC,MEX,Online TA,TA/TO,A,A,0,No Deposit,Transient,120.5,0,1,0
City Hotel,February,6,7,0,2,1,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,107.0,0,0,0
Resort Hotel,September,37,4,2,5,2,BB,IRL,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,82.71,0,2,0
Resort Hotel,March,12,25,2,4,2,HB,ESP,Online TA,TA/TO,E,E,0,No Deposit,Transient,118.0,1,2,0
City Hotel,June,26,23,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.0,0,0,1
City Hotel,October,43,21,2,2,2,BB,PRT,Online TA,TA/TO,A,A,1,No Deposit,Transient,106.25,0,2,0
City Hotel,March,10,10,1,2,2,BB,FRA,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,80.0,0,1,0
City Hotel,September,36,3,2,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,75.0,0,0,1
Resort Hotel,June,25,24,2,2,2,BB,IRL,Online TA,TA/TO,D,D,0,No Deposit,Transient,88.2,0,1,0
Resort Hotel,May,21,25,0,3,2,BB,CN,Groups,TA/TO,E,E,0,No Deposit,Transient-Party,72.0,0,0,0
City Hotel,July,27,1,1,2,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,126.9,1,1,0
City Hotel,May,21,24,0,2,2,HB,DEU,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,114.4,0,0,0
City Hotel,October,41,5,1,0,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Contract,126.0,0,1,0
City Hotel,June,24,5,1,0,2,BB,ISR,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,65.0,0,1,0
City Hotel,September,37,8,0,4,2,BB,NOR,Online TA,TA/TO,A,A,0,No Deposit,Transient,105.0,0,2,0
City Hotel,April,15,4,1,3,2,HB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,90.0,0,0,0
City Hotel,June,25,15,0,2,2,HB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,115.0,0,1,0
City Hotel,July,30,17,2,3,3,BB,GBR,Online TA,TA/TO,D,D,0,No Deposit,Transient,161.1,0,2,0
City Hotel,July,28,11,0,1,2,SC,GBR,Online TA,TA/TO,A,A,0,No Deposit,Group,120.0,0,1,0
Resort Hotel,February,6,6,2,1,1,Undefined,PRT,Groups,Direct,D,E,1,No Deposit,Transient-Party,56.67,0,0,0
Resort Hotel,June,22,1,0,2,2,BB,IRL,Online TA,TA/TO,D,D,0,No Deposit,Transient,96.5,0,0,0
City Hotel,May,22,30,0,1,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,90.0,0,0,1
City Hotel,August,32,2,0,1,1,BB,BEL,Online TA,TA/TO,D,D,1,No Deposit,Transient,181.0,0,1,0
Resort Hotel,November,47,18,1,2,1,BB,DEU,Online TA,TA/TO,A,D,0,No Deposit,Transient-Party,49.0,1,1,0
Resort Hotel,July,28,14,2,5,2,BB,BRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,151.43,0,1,1
City Hotel,August,32,6,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Contract,62.0,0,0,1
City Hotel,October,43,17,1,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,95.0,0,0,1
City Hotel,October,42,12,0,3,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,110.0,0,0,1
Resort Hotel,September,38,13,0,1,2,BB,PRT,Online TA,TA/TO,A,C,0,No Deposit,Transient-Party,136.0,0,0,0
City Hotel,October,41,5,1,3,1,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,140.0,0,0,1
City Hotel,February,7,15,0,1,2,SC,PRT,Direct,Direct,A,A,0,No Deposit,Transient,75.0,0,0,1
Resort Hotel,July,27,4,0,5,2,HB,ESP,Online TA,TA/TO,G,G,0,No Deposit,Transient,242.0,0,0,1
City Hotel,August,35,24,1,1,2,BB,ESP,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.0,0,0,0
Resort Hotel,March,11,8,0,2,1,BB,PRT,Direct,Direct,A,D,0,No Deposit,Transient,40.0,1,0,0
Resort Hotel,June,26,26,1,3,2,HB,CN,Groups,TA/TO,D,E,0,No Deposit,Transient-Party,106.0,0,0,0
City Hotel,October,42,17,0,1,2,BB,SWE,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,67.0,0,0,0
City Hotel,August,34,20,0,1,2,SC,PRT,Online TA,TA/TO,F,F,0,No Deposit,Contract,153.0,0,1,0
Resort Hotel,December,53,26,1,3,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,65.0,0,1,1
Resort Hotel,December,53,29,0,1,2,BB,PRT,Direct,Direct,E,E,0,No Deposit,Transient,65.0,0,0,0
City Hotel,October,42,13,0,3,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,95.0,0,0,1
City Hotel,October,42,15,2,1,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,115.0,0,0,1
City Hotel,August,33,12,0,1,2,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Contract,114.0,1,1,0
Resort Hotel,August,33,18,2,2,2,BB,IRL,Online TA,TA/TO,E,E,0,No Deposit,Transient,207.2,0,1,0
City Hotel,September,40,29,0,3,2,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,106.2,0,2,1
City Hotel,October,43,24,0,1,2,HB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,146.0,0,0,1
City Hotel,July,29,16,2,1,2,BB,CHE,Online TA,TA/TO,A,A,0,No Deposit,Transient,107.1,0,0,0
Resort Hotel,October,43,16,2,2,3,BB,CN,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,62.1,0,0,0
Resort Hotel,January,2,3,2,3,3,BB,GBR,Offline TA/TO,TA/TO,A,A,1,No Deposit,Transient,39.15,0,0,0
Resort Hotel,May,21,22,1,3,2,BB,GBR,Online TA,TA/TO,C,C,2,No Deposit,Transient,125.0,0,1,1
Resort Hotel,May,19,2,1,2,2,BB,GBR,Online TA,TA/TO,D,D,0,No Deposit,Transient,96.0,1,0,0
City Hotel,September,37,6,2,0,2,BB,PRT,Groups,TA/TO,A,D,0,No Deposit,Transient-Party,75.0,0,0,0
Resort Hotel,May,21,25,1,3,2,BB,GBR,Groups,TA/TO,D,D,1,No Deposit,Transient-Party,48.0,0,0,0
City Hotel,November,49,29,1,0,1,BB,PRT,Corporate,Corporate,A,A,0,No Deposit,Transient,65.0,0,0,0
City Hotel,August,33,8,1,2,2,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,135.9,0,1,1
Resort Hotel,October,42,15,2,2,2,BB,ESP,Offline TA/TO,TA/TO,A,D,0,No Deposit,Transient,42.0,1,0,0
Resort Hotel,April,14,5,1,4,1,BB,GBR,Groups,TA/TO,A,A,5,No Deposit,Transient-Party,42.0,0,0,0
City Hotel,February,8,16,0,3,1,BB,ESP,Offline TA/TO,TA/TO,A,A,1,No Deposit,Transient,64.4,0,0,0
City Hotel,September,38,13,0,2,2,HB,DEU,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,115.0,0,1,0
City Hotel,September,39,18,2,2,1,SC,BEL,Online TA,TA/TO,A,A,0,No Deposit,Transient,109.65,0,0,1
City Hotel,October,44,27,0,3,1,BB,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,119.0,0,1,0
City Hotel,November,46,13,0,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,75.0,0,0,1
City Hotel,May,20,11,0,4,3,BB,FRA,Online TA,TA/TO,D,D,0,No Deposit,Transient,154.88,0,2,0
City Hotel,August,35,26,0,1,3,BB,PRT,Direct,Direct,D,D,0,No Deposit,Transient,151.0,0,0,0
City Hotel,January,3,15,0,2,2,BB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,89.0,0,1,0
City Hotel,November,46,9,2,4,1,BB,AGO,Complementary,Direct,A,A,0,No Deposit,Transient,0.0,0,1,0
City Hotel,December,52,20,1,0,2,SC,PRT,Direct,Direct,A,A,0,No Deposit,Transient,75.0,0,0,0
City Hotel,May,21,25,0,3,1,BB,PRT,Complementary,Direct,A,A,1,No Deposit,Transient,0.0,0,2,0
City Hotel,September,40,29,1,3,2,BB,POL,Online TA,TA/TO,A,A,0,No Deposit,Transient,100.3,0,0,0
Resort Hotel,June,24,17,2,5,2,BB,CHE,Online TA,TA/TO,G,G,2,No Deposit,Transient-Party,157.0,1,2,0
City Hotel,December,53,27,2,1,2,SC,JPN,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,77.92,0,1,0
Resort Hotel,August,35,28,0,1,2,BB,PRT,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient-Party,110.7,0,0,1
Resort Hotel,May,21,17,2,7,2,BB,IRL,Direct,Direct,D,D,0,No Deposit,Transient,61.2,0,0,0
City Hotel,July,28,3,2,2,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,97.33,0,1,1
Resort Hotel,December,50,10,0,1,2,BB,PRT,Online TA,Direct,A,D,1,No Deposit,Transient,82.5,0,1,0
Resort Hotel,April,18,27,0,3,2,Undefined,PRT,Groups,Direct,A,A,1,No Deposit,Transient-Party,85.33,0,0,0
City Hotel,October,43,21,1,2,2,BB,FRA,Online TA,TA/TO,D,D,0,No Deposit,Transient,132.3,0,1,1
Resort Hotel,August,35,30,0,1,2,BB,PRT,Direct,Direct,A,A,0,No Deposit,Transient,175.0,0,1,0
City Hotel,July,29,21,0,1,2,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,118.0,0,1,0
City Hotel,June,25,21,0,4,1,BB,PRT,Corporate,TA/TO,A,A,0,Non Refund,Transient,110.0,0,0,1
Resort Hotel,February,7,12,0,2,2,FB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,68.0,0,0,1
City Hotel,December,52,24,2,3,0,BB,PRT,Online TA,TA/TO,B,A,0,No Deposit,Transient,67.26,0,1,0
City Hotel,August,36,28,2,0,1,SC,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,118.0,0,1,1
Resort Hotel,July,31,30,0,3,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,146.67,0,2,1
City Hotel,November,45,2,1,2,1,BB,ISR,Online TA,TA/TO,D,D,1,No Deposit,Transient,105.0,0,1,0
Resort Hotel,February,9,26,2,1,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,48.0,0,0,1
City Hotel,January,3,18,1,4,2,HB,POL,Online TA,TA/TO,D,D,0,No Deposit,Transient,138.0,0,0,0
Resort Hotel,February,8,17,0,1,2,BB,PRT,Direct,Direct,A,A,0,No Deposit,Transient,40.0,0,0,0
Resort Hotel,August,32,6,1,0,2,BB,GBR,Direct,TA/TO,A,A,0,No Deposit,Transient,185.0,0,0,0
City Hotel,May,21,19,0,2,2,BB,PRT,Corporate,Corporate,A,A,0,No Deposit,Transient-Party,100.0,0,0,0
City Hotel,June,24,10,0,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,130.0,0,1,0
City Hotel,August,35,29,0,1,2,BB,DEU,Online TA,TA/TO,F,F,0,No Deposit,Transient,259.0,0,0,0
Resort Hotel,November,45,7,0,1,2,BB,ESP,Online TA,TA/TO,A,D,0,No Deposit,Transient,64.0,1,2,0
City Hotel,November,46,9,0,4,2,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,133.03,0,1,0
City Hotel,June,25,17,0,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,75.0,0,0,1
City Hotel,February,7,13,2,1,2,SC,TUR,Online TA,TA/TO,A,A,0,No Deposit,Transient,79.0,0,0,1
City Hotel,August,35,28,1,3,1,HB,PRT,Groups,TA/TO,A,A,1,No Deposit,Transient-Party,104.0,0,0,0
Resort Hotel,July,29,15,0,2,2,FB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,121.5,0,0,1
City Hotel,December,50,7,0,3,2,BB,ITA,Online TA,TA/TO,B,A,1,No Deposit,Transient,82.44,0,1,0
Resort Hotel,November,47,17,0,1,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,48.0,0,1,0
Resort Hotel,December,51,15,0,0,1,BB,PRT,Direct,Direct,A,D,0,No Deposit,Transient,0.0,0,0,0
Resort Hotel,June,24,15,0,3,2,BB,ESP,Online TA,TA/TO,A,A,2,No Deposit,Transient-Party,80.1,0,2,0
Resort Hotel,August,36,30,2,8,2,BB,GBR,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,57.8,0,0,0
Resort Hotel,February,7,7,2,1,2,BB,PRT,Direct,Direct,G,G,0,No Deposit,Transient,91.0,0,0,0
Resort Hotel,July,31,30,2,5,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,176.43,0,0,1
City Hotel,October,42,13,0,1,2,SC,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,108.0,0,0,1
City Hotel,September,38,16,1,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,120.0,0,0,1
City Hotel,February,8,23,0,1,3,HB,PRT,Direct,Direct,D,D,0,No Deposit,Transient,207.0,0,0,0
City Hotel,August,32,7,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient-Party,62.0,0,0,1
City Hotel,October,40,2,0,2,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,100.0,0,0,0
City Hotel,July,30,21,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient,75.0,0,0,1
City Hotel,March,11,12,1,0,1,BB,ITA,Aviation,Corporate,A,A,0,No Deposit,Transient,80.0,0,0,0
Resort Hotel,August,35,27,2,1,2,BB,CN,Online TA,TA/TO,C,C,0,No Deposit,Transient,246.0,1,1,0
City Hotel,July,28,3,2,5,2,BB,GBR,Online TA,TA/TO,D,D,0,No Deposit,Transient,127.8,0,0,0
City Hotel,June,25,16,0,3,2,HB,FRA,Offline TA/TO,TA/TO,A,A,2,No Deposit,Transient-Party,45.0,0,1,0
Resort Hotel,April,17,29,2,1,2,Undefined,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,83.0,0,1,0
Resort Hotel,September,40,28,0,4,2,BB,PRT,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient-Party,76.0,0,0,1
Resort Hotel,August,33,13,2,3,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,170.0,0,2,1
City Hotel,September,38,17,0,2,2,HB,PRT,Offline TA/TO,TA/TO,A,D,0,No Deposit,Transient-Party,82.0,0,0,0
City Hotel,May,18,3,0,3,2,BB,AUT,Online TA,TA/TO,A,A,0,No Deposit,Transient,169.0,0,1,0
City Hotel,September,38,15,0,2,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,115.0,0,0,0
City Hotel,June,25,13,1,4,3,BB,AUT,Online TA,TA/TO,D,D,0,No Deposit,Transient,150.45,0,2,0
City Hotel,June,24,10,1,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,80.0,0,0,1
City Hotel,March,13,30,0,1,1,BB,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,86.4,0,0,0
City Hotel,November,46,7,1,2,1,BB,LVA,Online TA,TA/TO,D,D,0,No Deposit,Transient,209.0,0,2,0
City Hotel,March,13,20,2,0,1,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,70.0,0,0,1
Resort Hotel,November,47,21,0,1,2,BB,PRT,Corporate,Corporate,A,E,0,No Deposit,Transient-Party,32.0,0,0,0
Resort Hotel,December,53,30,1,2,2,Undefined,PRT,Groups,TA/TO,A,A,1,No Deposit,Transient-Party,114.0,0,1,0
Resort Hotel,July,31,25,1,1,2,BB,ESP,Online TA,TA/TO,E,E,0,No Deposit,Transient,209.0,0,0,1
Resort Hotel,May,23,30,1,3,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,86.5,0,1,0
Resort Hotel,April,17,17,2,3,2,BB,IRL,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,52.2,0,2,0
City Hotel,July,29,20,0,2,2,BB,ZAF,Direct,Direct,B,B,0,No Deposit,Transient-Party,100.4,0,1,0
City Hotel,December,50,9,0,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,52.0,0,0,1
Resort Hotel,July,27,4,1,1,2,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,73.8,0,2,0
City Hotel,March,13,22,0,3,1,SC,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,111.33,0,1,0
Resort Hotel,April,18,30,1,1,2,HB,DEU,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,85.0,0,0,0
City Hotel,July,31,27,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,65.0,0,0,1
Resort Hotel,October,45,30,2,3,2,BB,RUS,Online TA,TA/TO,D,D,3,No Deposit,Transient-Party,59.22,0,0,0
Resort Hotel,February,7,11,0,1,1,BB,PRT,Direct,Direct,A,D,0,No Deposit,Transient-Party,50.0,0,0,0
Resort Hotel,July,27,2,2,5,2,BB,PRT,Online TA,TA/TO,G,G,0,No Deposit,Transient,153.0,0,0,1
Resort Hotel,April,18,28,1,3,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,80.0,0,0,1
Resort Hotel,March,13,25,1,2,2,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,55.6,0,2,0
City Hotel,May,20,10,0,4,2,BB,DEU,Online TA,TA/TO,D,D,0,No Deposit,Transient,132.6,0,0,0
City Hotel,February,8,17,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,75.0,0,0,1
Resort Hotel,September,36,2,3,7,2,BB,GBR,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,68.8,0,0,0
Resort Hotel,July,29,18,0,5,2,BB,GBR,Offline TA/TO,TA/TO,A,A,0,No Deposit,Contract,116.5,0,0,0
Resort Hotel,October,41,10,1,1,2,HB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,34.0,0,0,1
City Hotel,November,45,1,0,4,2,BB,CHN,Online TA,TA/TO,A,A,0,No Deposit,Transient,93.6,0,1,0
Resort Hotel,January,3,16,1,1,1,BB,PRT,Corporate,Corporate,A,B,0,No Deposit,Transient,35.0,0,0,0
City Hotel,April,15,7,0,3,2,BB,CHE,Online TA,TA/TO,D,D,0,No Deposit,Transient-Party,137.7,0,0,0
City Hotel,September,40,30,0,2,2,HB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,121.0,0,0,1
Resort Hotel,July,27,1,2,6,2,HB,PRT,Online TA,TA/TO,A,A,1,No Deposit,Transient,120.0,0,1,1
Resort Hotel,August,35,21,2,2,2,BB,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,206.5,0,1,1
City Hotel,August,32,3,0,2,1,BB,ESP,Corporate,Corporate,D,A,0,No Deposit,Transient,94.0,0,0,0
City Hotel,August,34,17,1,1,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient-Party,62.0,0,0,1
Resort Hotel,April,14,5,0,3,2,BB,PRT,Direct,Corporate,A,E,0,No Deposit,Transient,50.0,0,0,0
City Hotel,August,34,14,2,1,2,BB,DEU,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,132.8,0,0,0
City Hotel,March,11,8,0,1,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,103.0,0,1,0
Resort Hotel,April,18,30,2,0,2,BB,RUS,Online TA,TA/TO,A,H,0,No Deposit,Transient,78.4,0,1,0
City Hotel,October,42,13,0,1,2,BB,BRA,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,95.0,0,0,0
Resort Hotel,September,37,7,1,3,2,HB,PRT,Online TA,TA/TO,A,C,0,No Deposit,Transient,144.9,0,2,0
Resort Hotel,June,26,25,0,1,1,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,132.0,1,1,0
Resort Hotel,October,41,7,0,3,2,HB,ESP,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,70.5,0,1,0
City Hotel,September,36,5,2,2,2,BB,ESP,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.0,0,0,0
City Hotel,April,14,8,2,1,2,SC,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,99.0,0,1,1
City Hotel,July,28,8,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.0,0,0,0
Resort Hotel,June,26,30,1,2,2,BB,PRT,Online TA,Direct,C,C,1,No Deposit,Transient,193.33,0,1,0
City Hotel,June,24,9,0,1,2,BB,PRT,Offline TA/TO,Corporate,A,A,0,No Deposit,Transient-Party,120.0,0,0,1
Resort Hotel,August,34,19,0,1,2,BB,CHN,Online TA,TA/TO,A,C,0,No Deposit,Transient-Party,140.0,0,0,0
Resort Hotel,July,27,4,2,6,2,BB,ROU,Online TA,TA/TO,A,A,0,No Deposit,Transient,105.47,0,2,1
Resort Hotel,July,32,31,2,2,2,BB,CN,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,105.5,0,1,0
Resort Hotel,July,28,9,2,6,2,BB,GBR,Online TA,TA/TO,G,G,0,No Deposit,Transient,177.25,0,0,0
Resort Hotel,April,17,25,0,3,2,BB,FRA,Online TA,TA/TO,G,G,0,No Deposit,Transient,145.0,0,0,1
City Hotel,April,14,6,2,3,2,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,88.4,0,0,0
City Hotel,August,32,1,1,0,2,BB,NLD,Online TA,TA/TO,A,A,0,No Deposit,Transient,130.0,1,1,0
City Hotel,September,40,29,0,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,48.0,0,0,1
City Hotel,June,24,11,2,2,2,SC,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,120.0,0,1,1
City Hotel,April,15,4,1,1,3,BB,ESP,Online TA,TA/TO,D,D,0,No Deposit,Transient,137.0,0,1,0
City Hotel,January,4,22,1,2,2,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Contract,99.0,0,2,1
City Hotel,April,17,20,0,4,2,BB,AUT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,99.0,0,0,0
Resort Hotel,February,8,17,0,1,1,BB,PRT,Corporate,Corporate,A,D,0,No Deposit,Transient,25.0,0,0,0
City Hotel,August,35,28,1,3,1,HB,PRT,Groups,TA/TO,D,D,1,No Deposit,Transient-Party,104.0,0,1,0
City Hotel,April,14,5,0,3,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,90.0,0,0,1
City Hotel,May,18,6,2,1,2,BB,FRA,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,90.0,0,1,0
Resort Hotel,July,27,6,4,8,2,BB,DNK,Online TA,TA/TO,C,C,0,No Deposit,Transient,188.42,0,0,1
City Hotel,March,13,24,0,3,2,BB,ESP,Direct,Direct,A,B,4,No Deposit,Transient,116.1,0,1,0
